name,Calories per gram,Carbs per gram,Fat per gram,Protein per gram, type
"protein powder,isopure natural chocolate",3.591,0.1061,0.0152,0.7576, protein
"protein powder,labrada lean body for her isolate (vanilla)",3.775,0.15,0.075,0.625, protein
"protein powder,kaizen",3.68,0.03,0.01,0.88, protein
"protein powder,jay robb egg white -all flavors",3.636,0.1212,0,0.7273, protein
"protein powder,lean fit,chocolate",3.938,0.0625,0.0625,0.7813, protein
"protein powder,lifetime lifes basic vanilla",3.91,0.15,0.03,0.67, protein
"protein powder,lifetime fitness",4.083,0.1,0.0833,0.7333, protein
"protein powder,lifetime whey isolate",3.85,0.08,0,0.85, protein
"protein powder,magnum quattro (chocolate)",3.806,0.0556,0.0278,0.8333, protein
"protein powder,manitoba harvest hemp",4.75,0.15,0.15,0.7, protein
"protein powder,market pantry chocolate",4.06,0.15,0.06,0.74, protein
"protein powder,maxs super whey (banana)",3.77,0.08,0.03,0.79, protein
"protein powder,mediclear plus",3.902,0.1087,0.0761,0.6957, protein
"protein powder,metabolic drive",3.93,0.138,0.069,0.689, protein
"protein powder,metagenics unipro",3.652,0.2174,0,0.6957, protein
"protein powder,mgn cake batter",3.767,0.133,0.033,0.733, protein
"protein powder,maxx essentials",3.53,0.18,0.04,0.68, protein
"protein powder,mhp paleo protein,triple chocolate",3.526,0.2736,0,0.6079, protein
"protein powder,mgn premium protein blend",3.77,0.133,0.033,0.733, protein
"protein powder,mrm veggie elite- chocolate mocha",3.5,0.1351,0.0405,0.6486, protein
"protein powder,mrm whey",3.33,0.06,0.04,0.71, protein
"protein powder,mmi premium whey",4.04,0.1,0.1,0.74, protein
"protein powder,mrm whey (rich vanilla)",3.58,0.0617,0.0412,0.7407, protein
"protein powder,mts,apple pie",4.017,0.0867,0.0867,0.7225, protein
"protein powder,mrms veggie protein (chocolate)",3.816,0.1974,0.0789,0.5789, protein
"protein powder,mts,cinnagram",4.017,0.0867,0.0867,0.7225, protein
"protein powder,mts nutrition",4.588,0.1471,0.1176,0.7353, protein
"protein powder,mts,pumpkin pie",4.016,0.0469,0.0781,0.7813, protein
"protein powder,muscle max maxpro",3.914,0.0571,0.0286,0.8571, protein
"protein powder,mts,red velvet",3.888,0.15,0.0875,0.625, protein
"protein powder,muscle max whey",3.71,0.11,0.03,0.74, protein
"protein powder,muscle milk protein plus",3.82,0.09,0.06,0.76, protein
"protein powder,musclefeast whey isolate chocolate",3.75,0.07,0,0.86, protein
"protein powder,musclepharm,chocolate peanut butter",3.814,0.1429,0.0429,0.7143, protein
"protein powder,musclepharm,strawberry cheesecake",3.929,0.1714,0.0429,0.7143, protein
"protein powder,muscletech 100% whey",3.69,0.28,0.03,0.62, protein
"protein powder,musclepharm combat powder",3.94,0.12,0.07,0.71, protein
"protein powder,muscletech anabolic halo chocolate",3.794,0.2941,0.0294,0.5882, protein
"protein powder,myofusion (probiotic version)",3.85,0.23,0.05,0.62, protein
"protein powder,myofusion advanced",3.75,0.1316,0.0658,0.6579, protein
"protein powder,myofusion (old version-all flavours)",4.083,0.139,0.083,0.694, protein
"protein powder,mutant isosurge birthday cake",1.17,0.02,0.01,0.25, protein
"protein powder,myofusion elite",4.2,0.14,0.09,0.71, protein
"protein powder,natural whey isolate",3.44,0.16,0.03,0.63, protein
"protein powder,natera hemp",3.983,0.2333,0.1167,0.5, protein
"protein powder,myprotein power,chocolate",3.988,0.06,0.068,0.784, protein
"protein powder,natures best javapro (french vanilla)",3.625,0.0714,0.0536,0.7143, protein
"protein powder,new solutions nutrition,chocolate",3.969,0.126,0.063,0.7244, protein
"protein powder,nitro peak",4.17,0.17,0.1,0.67, protein
"protein powder,nitro pro whey isolate",2.583,0.074,0.009,0.551, protein
"protein powder,nla her whey",3.62,0.12,0.1,0.56, protein
"protein powder,nnw healthy whey",3.56,0.04,0.04,0.77, protein
"protein powder,north coast naturals,100% iso,chocolate",3.866,0.069,0.031,0.8276, protein
"protein powder,now pea",3.64,0.03,0.06,0.73, protein
"protein powder,now whey pure isolate",3.75,0.04,0.01,0.89, protein
"protein powder,nrg-x sublime chocolate chip",3.576,0.0909,0.0606,0.6667, protein
"protein powder,nutribiotic rice protein",3.67,0.12,0.02,0.8, protein
"protein powder,nutrition direct whey",3.47,0.02,0.01,0.83, protein
"protein powder,nytrowhey ultra elite-chocolate",3.98,0.27,0.11,0.48, protein
"protein powder,optimum nutrition 100% gold standard whey,chocolate",3.906,0.1563,0.0313,0.75, protein
"protein powder,optimum nutrition 100% standard whey,double chocolate",3.9,0.1,0.0333,0.8, protein
"protein powder,optimum nutrition 100% whey gold standard",3.98,0.102,0.034,0.816, protein
"protein powder,optimum nutrition chocolate egg white",3.69,0.12,0.03,0.74, protein
"protein powder,optimum nutrition casein",3.64,0.09,0.03,0.73, protein
"protein powder,optimum nutrition gold standard whey",4.08,0.1,0.03,0.82, protein
"protein powder,optimum nutrition performance whey",4.1,0.18,0.1,0.56, protein
"protein powder,optimum nutrition,platinum hydro whey",3.513,0.0513,0.0256,0.7692, protein
"protein powder,optimum nutrition platinum tri-celle casein chocolate decadence flavor",3.558,0.1395,0.0233,0.6977, protein
"protein powder,optimum whey",3.9,0.1,0.033,0.8, protein
"protein powder,orgain,organic creamy chocolate (plant based)",3.739,0.2826,0.087,0.4565, protein
"protein powder,pes select",3.813,0.0313,0.0625,0.7813, protein
"protein powder,pescience,blondie",3.656,0.0938,0.0313,0.75, protein
"protein powder,pescience,cookies n cream",3.547,0.0313,0.0469,0.75, protein
"protein powder,pescience,peanut butter cup",3.6,0.1231,0.0308,0.7077, protein
"protein powder,phd whey",3.8,0.08,0.06,0.73, protein
"protein powder,phd diet whey",3.65,0.12,0.05,0.68, protein
"protein powder,phd pharma pure",4.033,0.0333,0.0333,0.9, protein
"protein powder,pierce performance nutrition vanilla",3.64,0.06,0.05,0.76, protein
"protein powder,phoenix rising",3.56,0.04,0,0.85, protein
"protein powder,plant fusion",4,0.1333,0.0667,0.7, protein
"protein powder,power whey isolate",4,0.04,0.03,0.86, protein
"protein powder,precision engineer whey",3.7,0.04,0.09,0.67, protein
"protein powder,pro v 60",3.94,0.15,0.04,0.75, protein
"protein powder,professional whey micellar casein",3.67,0.05,0.02,0.86, protein
"protein powder,professional whey wpi",3.7,0,0.01,0.93, protein
"protein powder,progressive organics,brown rice,natural vanilla",3.6,0.1,0,0.8, protein
"protein powder,projym chocolate cookie crunch",4.018,0.1809,0.0904,0.6202, protein
"protein powder,projym cookies and cream",4.003,0.1445,0.0723,0.6936, protein
"protein powder,promasil",3.6,0,0.04,0.8, protein
"protein powder,protizyme",3.86,0.09,0.09,0.69, protein
"protein powder,pure protein",3.78,0.08,0.08,0.68, protein
"protein powder,purepaleo chocolate",4.056,0.1111,0.0556,0.7778, protein
"protein powder,pure protein natural whey (chocolate)",3.94,0.15,0.06,0.7, protein
"protein powder,pvl iso sport whey,vanilla",4.162,0.0588,0.0441,0.8824, protein
"protein powder,pvl isogold,cookies and cream",4.188,0.0625,0.0625,0.8438, protein
"protein powder,pvl whey gourmet - peanut butter chocolate",3.806,0.129,0.065,0.677, protein
"protein powder,quest cookies and cream",3.797,0.2188,0.0469,0.625, protein
"protein powder,quest multi purpose mix",3.571,0.0357,0,0.8571, protein
"protein powder,quest peanut butter",3.633,0.0667,0.0333,0.7667, protein
"protein powder,quest salted caramel",3.571,0.1071,0,0.7857, protein
"protein powder,quest,chocolate milkshake",3.6,0.1333,0,0.7667, protein
"protein powder,quest,vanilla milkshake",3.571,0.1071,0,0.7857, protein
"protein powder,reflex instant whey pro",3.852,0.064,0.044,0.8, protein
"protein powder,reserveage grass fed whey protein (chocolate)",3.439,0.1212,0.0455,0.6364, protein
"protein powder,revolutionary nutrition bionic edge whey",3.53,0.063,0.031,0.75, protein
"protein powder,rsp nutrition,vanilla whey",4.059,0.1471,0.0588,0.7353, protein
"protein powder,scivation whey",3.661,0.035,0.035,0.775, protein
"protein powder,shakeology chocolate",3.81,0.38,0.05,0.38, protein
"protein powder,sni,pro whey pw-30",3.453,0.1467,0.0222,0.6667, protein
"protein powder,spiru-tein,french vanilla",3.443,0.3143,0.0143,0.5143, protein
"protein powder,sun warrior",3.81,0.19,0,0.76, protein
"protein powder,sunwarrior,warrior blend,vanilla",4.08,0.08,0.08,0.76, protein
"protein powder,syntrax nectar",3.43,0,0,0.86, protein
"protein powder,syntha-6",4.55,0.32,0.14,0.5, protein
"protein powder,teras whey",3.87,0.14,0.05,0.74, protein
"protein powder,teras whey,chocolate (grass fed)",4.214,0.1786,0.0714,0.7143, protein
"protein powder,tested nutrition - chocolate",4.208,0.1667,0.0972,0.6667, protein
"protein powder,titan complete nutrition",4.07,0.12,0.07,0.75, protein
"protein powder,true nutrition vegan",3.91,0.09,0.04,0.78, protein
"protein powder,true protein whey protein isolate cold-filtration. unflavored/unsweetened",3.6,0,0,0.9, protein
"protein powder,trutein pumpkin pie",3.676,0.1471,0.0294,0.7059, protein
"protein powder,trutein,banana cream",3.794,0.1471,0.0294,0.7353, protein
"protein powder,trutein,choc truffle",3.735,0.1324,0.0294,0.7353, protein
"protein powder,trutein,chocolate mint",3.735,0.1324,0.0294,0.7353, protein
"protein powder,trutein,chocolate pb cup",3.809,0.1176,0.0441,0.7353, protein
"protein powder,trutein,cinnabun",3.676,0.1471,0.0294,0.7059, protein
"protein powder,trutein,lemon meringue pie",3.618,0.1324,0.0294,0.7059, protein
"protein powder,trutein,mocha caramel",3.574,0.1471,0.0441,0.6471, protein
"protein powder,trutein,orange creamsicle",3.618,0.1324,0.0294,0.7059, protein
"protein powder,trutein,pb marshmallow cookie",3.676,0.1176,0.0294,0.7353, protein
"protein powder,trutein,red velvet",4.265,0.1471,0.1471,0.5882, protein
"protein powder,trutein,smores",4.63,0.1852,0.037,0.8889, protein
"protein powder,trutein,shamrock shake",3.676,0.1176,0.0294,0.7353, protein
"protein powder,trutein,vanilla",3.53,0.15,0.03,0.74, protein
"protein powder,ultimate nutrition bioactive whey sensation 81",4,0.07,0.05,0.8, protein
"protein powder,ultimate nutrition iso sensation",4.06,0.03,0,0.94, protein
"protein powder,usn ultra whey -100 premium",3.831,0.0846,0.0462,0.7692, protein
"protein powder,vega one",4.429,0.3095,0.1429,0.4762, protein
"protein powder,vega sport",3.24,0.16,0.03,0.7, protein
"protein powder,vp2",3.75,0.07,0.04,0.82, protein
"protein powder,vega one nutritional shake",3.388,0.2638,0.0887,0.3837, protein
"protein powder,v-core complete nutrition",3.97,0.13,0.07,0.66, protein
"protein powder,warrior blend,vanilla",4.08,0.08,0.08,0.76, protein
"protein powder,whey gourmet",3.933,0.1333,0.0667,0.7, protein
"protein powder,woman incredible",3.678,0.0235,0.0076,0.879, protein
"protein powder,wheyology all flavours",4.15,0.1,0.09,0.74, protein
"protein powder,vpx zero carb",3.4,0,0,0.85, protein
"ricotta cheese,sargento fat-free",0.81,0.08,0,0.08, protein
"sausage,jimmy dean",1.691,0.0147,0.1029,0.1765, protein
"seafood,ahi tuna sashimi (uncooked)",1.15,0,0.01,0.25, protein
"seafood,barramundi",1.47,0,0.05,0.26, protein
"seafood,catfish fillets (delta pride)",0.83,0,0.03,0.139, protein
"seafood,crab",0.895,0,0.015,0.19, protein
"seafood,cod",0.993,0,0.009,0.228, protein
"seafood,crawfish (cooked)",0.822,0,0.0129,0.1765, protein
"seafood,flathead",1.163,0,0.0134,0.2606, protein
"seafood,haddock",1.12,0,0.009,0.242, protein
"seafood,grouper (cooked)",1.117,0,0.013,0.25, protein
"seafood,lobster",0.94,0.01,0.01,0.2, protein
"seafood,kirkland wild alaska sockeye salmon (canned)",1.098,0,0.0268,0.2143, protein
"seafood,halibut",1.4,0,0.029,0.267, protein
"seafood,hake (uncooked)",0.8,0,0.01,0.16, protein
"seafood,orange roughy",1.05,0,0.009,0.226, protein
"seafood,monkfish (cooked)",0.94,0,0.02,0.19, protein
"seafood,mahi mahi grande gourmet burger",1.535,0,0.0965,0.1667, protein
"seafood,mahi mahi",0.829,0,0.009,0.187, protein
"seafood,oysters (raw)",0.556,0.0393,0.0131,0.0702, protein
"seafood,pacific salmon (raw)",0.686,0,0.0133,0.1416, protein
"seafood,perch",1.21,0,0.02,0.24, protein
"seafood,pollock",1.113,0,0.013,0.249, protein
"seafood,salmon (atlantic/wild)",2.06,0,0.124,0.221, protein
"seafood,raincoast skipjack tuna (drained)",1.182,0,0.0182,0.2545, protein
"seafood,salmon pate (john west)",2.711,0,0.235,0.149, protein
"seafood,salmon burger (alaskan),trident",1.496,0.0177,0.0796,0.177, protein
"seafood,salmon (pink,canned,bumble bee brand)",1.089,0.036,0.018,0.196, protein
"seafood,salmon-lomi (raw)",1.257,0.2733,0.0033,0.0333, protein
"seafood,salmon,365 alaskan wild (canned)",1.009,0,0.0089,0.2321, protein
"seafood,salmon,atlantic,farmed (cooked",1.989,0,0.1236,0.2191, protein
"seafood,sardines,in extra virgin olive oil",1.94,0,0.14,0.18, protein
"seafood,sashimi,salmon",1.42,0,0.06,0.2, protein
"seafood,scallops",1.12,0,0.014,0.232, protein
"seafood,sea bass",1.24,0,0.03,0.24, protein
"seafood,snapper",1.28,0,0.02,0.26, protein
"seafood,shrimp",0.99,0,0.011,0.209, protein
"seafood,sole/flounder",1.17,0,0.015,0.242, protein
"seafood,squid calamari (uncooked)",0.92,0.03,0.01,0.16, protein
"seafood,swai",0.71,0,0.02,0.13, protein
"seafood,tuna pate (john west)",2.628,0,0.224,0.153, protein
"seafood,tilapia",1.28,0,0.027,0.262, protein
"seafood,trout",1.69,0,0.07,0.24, protein
"seafood,tilefish (cooked)",1.383,0,0.047,0.24, protein
"turkey bacon,columbus",1.5,0,0.0714,0.2143, protein
"turkey bacon,butterball fully cooked",2.727,0,0.1818,0.2727, protein
spiru-tein unsweetened (all flavors),3.304,0.2174,0,0.6087, protein
"seafood,wild swordfish steaks - whole catch brand (from whole foods) -",1.257,0,0.053,0.195, protein
"seafood,tuna,canned",1.16,0,0.008,0.255, protein
"seafood,tuna wild planet wild albacore",1.491,0,0.0625,0.2321, protein
"turkey breast,market pantry,oven roasted slices",1.018,0.0357,0.0179,0.1786, protein
"turkey breast,kirkland oven browned",0.938,0,0.0089,0.2143, protein
"turkey breast,butterball oven roasted slices",1.018,0.0357,0.0179,0.1786, protein
"turkey breast,artisan slow roasted",1.089,0.0357,0.0179,0.1964, protein
"turkey breast,oven roasted (lillydale)",1.336,0.0182,0.0273,0.2545, protein
"turkey burger,metro",1.451,0.002,0.0759,0.19, protein
"turkey breast,shady brook farms",1.08,0,0.0089,0.25, protein
"turkey burger,fresca naturals",1.148,0,0.0211,0.2394, protein
"turkey burger,marc angelo (raw)",1.06,0.032,0.036,0.152, protein
"turkey burger,perdue 93% lean",1.393,0,0.0714,0.1875, protein
"turkey ham,jennie-o",1.357,0.0357,0.0714,0.1429, protein
"turkey pepperoni,kroger (low fat)",2.55,0,0.15,0.3, protein
"turkey pepperoni,butterball",1.52,0.04,0.08,0.16, protein
turkey pepperettes,2.133,0,0.1333,0.2333, protein
"turkey sausage,applegate,naturals savory",1.729,0.0169,0.1017,0.1864, protein
"turkey slices,applegate",0.714,0,0,0.1786, protein
"turkey,applegate natural breast",0.89,0,0,0.21, protein
"turkey sausage,marc angelo extra lean",1.053,0.0133,0.04,0.16, protein
"turkey,applegate naturals uncured turkey bacon",1.339,0,0.0536,0.2143, protein
"turkey,boars head,all types (oven roasted,smoked,etc)",1.089,0,0.0179,0.2321, protein
"turkey,boarshead all natural smoked breast",1.07,0,0.02,0.25, protein
"turkey,burger (kirkland)",1.32,0.01,0.04,0.23, protein
"turkey,crumbles,jimmy dean",1.474,0.0175,0.0702,0.193, protein
"turkey,cutlets (butterball)",1.013,0,0.004,0.243, protein
"turkey,cutlets-honeysuckle white boneless 99% fat-free",0.25,0,0.0045,0.25, protein
"turkey,el pozo breast",0.68,0.02,0.01,0.14, protein
"turkey,fresh creations sausage",1.81,0.02,0.13,0.14, protein
"turkey,breast",1.263,0,0.007,0.3, protein
"turkey,ground,93% fat-free",1.429,0,0.071,0.196, protein
"turkey,grimms farmer sausage",1.638,0,0.1064,0.1702, protein
"turkey,ground butterball 98% lean",1.125,0,0.0179,0.2411, protein
"turkey,ground,kirkland and presidents choice lean (raw weight)",1.25,0,0.05,0.2, protein
"turkey,ground,99% fat-free",1.081,0,0.009,0.25, protein
"turkey,ground,97% fat-free",1.207,0,0.031,0.232, protein
"turkey,jennie o smoked breast",0.89,0.02,0.02,0.21, protein
"turkey,jenni-o extra lean bacon",1.33,0,0.03,0.2, protein
"turkey,jenni-o thick cut bacon",1.64,0.04,0.07,0.21, protein
"turkey,jennie-o (60% less fat) bacon",2,0,0.17,0.13, protein
"turkey,jennie-o all natural 95/5 burger",1.07,0,0.03,0.2, protein
"turkey,jennie-o lean ham",1.357,0.0357,0.0714,0.1429, protein
"turkey,kirkland burger (raw)",1.338,0.0132,0.0397,0.2318, protein
"turkey,jennie-o,mild breakfast sausage",1.964,0,0.1071,0.25, protein
"turkey,jimmy dean sausage",1.76,0.01,0.1,0.19, protein
"turkey,kielbasa,hillshire farms",1.61,0.05,0.09,0.16, protein
"turkey,lean bratwurst",1.86,0.01,0.1,0.21, protein
"turkey,pepperoni slices (70% less fat)",2.4,0,0.1333,0.3, protein
"turkey,lily dale daystarters extra lean bacon",0.96,0,0.02,0.19, protein
"turkey,maple leaf natural selection,hickory smoked",1.083,0,0.0167,0.2333, protein
"turkey,oscar meyer carving board breast",1.07,0.02,0.02,0.21, protein
"turkey,life smart",2.017,0,0.0833,0.3167, protein
"turkey,prime extra lean",2.25,0,0.1167,0.3, protein
"turkey,trader joes 94% fat free bacon",1.07,0,0.05,0.21, protein
veal cutlets (cooked),2.003,0,0.0728,0.3369, protein
"veal,cubed (raw)",1.06,0,0.02,0.21, protein
"venison,ground 80/20 (venison/beef)",2.374,0,0.1515,0.2525, protein
venison (deer loin-lean),1.58,0,0.032,0.302, protein
"yeast,whole foods",4.6,0.4667,0.0667,0.5333, protein
"cheese,lifetime jalapeu00e3u00b1o jack (fat-free)",1.429991032,0.039991275,0,0.29011852, protein
"chicken,perdue fit & easy extra lean ground (cooked)",1.404761905,0,0.023809524,0.297619048, protein
"chicken,boars head blazing buffalou00ae style roasted",1.089284396,0,0.017908574,0.232072964, protein
"cottage cheese,bison fat-free",0.61950062,0.053025053,0,0.097125097, protein
"chips,quest protein,all flavors (bbq,sea salt,cheddar sour cream,sour cream & onion)",3.812600969,0.15638126,0.062681745,0.656542811, protein
"cottage cheese,flair",0.920006237,0.029939186,0.040074848,0.109932949, protein
"cottage cheese,daisy (low-fat)",0.8,0.04,0.020067797,0.12, protein
"cottage cheese,kraft fat-free",0.608002968,0.063994889,0,0.088005853, protein
"cottage cheese,michigan",0.989999329,0.030035573,0.039935566,0.119974495, protein
"cottage cheese,nancyu2019s organic cultured low fat",0.70999651,0.029964259,0.009988086,0.119977376, protein
"greek yogurt,fage total,plain (full fat)",0.96999589,0.039950678,0.049979449,0.089930127, protein
"greek yogurt,heb (fat-free)",0.551108288,0.035588518,0,0.102188554, protein
"protein powder,mts,mint cookies & cream",3.88746129,0.150227318,0.087632602,0.625288265, protein
"protein powder,isopure zero carb cookies & cream",3.426049591,0,0.016259218,0.818767784, protein
"protein powder,elite whey & casein blend",3.859993458,0.189728492,0.04972195,0.650310762, protein
"protein powder,mts,pb cookies & cream",4.210376079,0.157710697,0.105616214,0.657960465, protein
"protein powder,muscleology nitro-pro cookies & cream",3.480004719,0.100271322,0.010027132,0.750265424, protein
"protein powder,myprotein true whey cookies & cream",3.939899833,3.939899833,0.068113523,0.759933222, protein
"protein powder,quest,strawberries & cream",3.428637843,0.106927011,0,0.75023245, protein
"seafood,salmon,bear & wolf (canned)",1.050008898,0,0.019932372,0.229934152, protein
